ICD_CODE,LONG_DESCRIPTION,MACSS_GROUP
C38.4,Malignant neoplasm of pleura,OTHER_PRIMARY_CANCER
C38.8,"Overlapping malignant lesion of heart, mediastinum and pleura",OTHER_PRIMARY_CANCER
C39.0,"Malignant neoplasm of upper respiratory tract, part unspecified",OTHER_PRIMARY_CANCER
C39.8,Overlapping malignant lesion of respiratory and intrathoracic organs,OTHER_PRIMARY_CANCER
C39.9,Malignant neoplasm of ill-defined sites within the respiratory system,OTHER_PRIMARY_CANCER
C40.0,Malignant neoplasm of scapula and long bones of upper limb,OTHER_PRIMARY_CANCER
C40.1,Malignant neoplasm of short bones of upper limb,OTHER_PRIMARY_CANCER
C40.2,Malignant neoplasm of long bones of lower limb,OTHER_PRIMARY_CANCER
C40.3,Malignant neoplasm of short bones of lower limb,OTHER_PRIMARY_CANCER
C40.8,Overlapping malignant lesion of bone and articular cartilage of limbs,OTHER_PRIMARY_CANCER
C40.9,"Malignant neoplasm of bone and articular cartilage of limb, unspecified",OTHER_PRIMARY_CANCER
C41.01,Malignant neoplasm of craniofacial bones,OTHER_PRIMARY_CANCER
C41.02,Malignant neoplasm of maxillofacial bones,OTHER_PRIMARY_CANCER
C41.1,Malignant neoplasm of mandible,OTHER_PRIMARY_CANCER
C41.2,Malignant neoplasm of vertebral column,OTHER_PRIMARY_CANCER
C41.3,"Malignant neoplasm of ribs, sternum and clavicle",OTHER_PRIMARY_CANCER
C41.4,"Malignant neoplasm of pelvic bones, sacrum and coccyx",OTHER_PRIMARY_CANCER
C41.8,Overlapping malignant lesion of bone and articular cartilage,OTHER_PRIMARY_CANCER
C41.9,"Malignant neoplasm of bone and articular cartilage, unspecified",OTHER_PRIMARY_CANCER
C43.0,Malignant melanoma of lip,OTHER_PRIMARY_CANCER
C43.1,"Malignant melanoma of eyelid, including canthus",OTHER_PRIMARY_CANCER
C43.2,Malignant melanoma of ear and external auricular canal,OTHER_PRIMARY_CANCER
C43.3,Malignant melanoma of other and unspecified parts of face,OTHER_PRIMARY_CANCER
C43.4,Malignant melanoma of scalp and neck,OTHER_PRIMARY_CANCER
C43.5,Malignant melanoma of trunk,OTHER_PRIMARY_CANCER
C43.6,"Malignant melanoma of upper limb, including shoulder",OTHER_PRIMARY_CANCER
C43.7,"Malignant melanoma of lower limb, including hip",OTHER_PRIMARY_CANCER
C43.8,Overlapping malignant melanoma of skin,OTHER_PRIMARY_CANCER
C43.9,"Malignant melanoma of skin, unspecified",OTHER_PRIMARY_CANCER
C44.0,Malignant neoplasm of skin of lip,OTHER_PRIMARY_CANCER
C44.1,"Malignant neoplasm of skin of eyelid, including canthus",OTHER_PRIMARY_CANCER
C44.2,Malignant neoplasm of skin of ear and external auricular canal,OTHER_PRIMARY_CANCER
C44.3,Malignant neoplasm of skin of other and unspecified parts of face,OTHER_PRIMARY_CANCER
C44.4,Malignant neoplasm of skin of scalp and neck,OTHER_PRIMARY_CANCER
C44.5,Malignant neoplasm of skin of trunk,OTHER_PRIMARY_CANCER
C44.6,"Malignant neoplasm of skin of upper limb, including shoulder",OTHER_PRIMARY_CANCER
C44.7,"Malignant neoplasm of skin of lower limb, including hip",OTHER_PRIMARY_CANCER
C44.8,Overlapping malignant lesion of skin,OTHER_PRIMARY_CANCER
C44.9,"Malignant neoplasm of skin, unspecified",OTHER_PRIMARY_CANCER
C45.0,Mesothelioma of pleura,OTHER_PRIMARY_CANCER
C45.1,Mesothelioma of peritoneum,OTHER_PRIMARY_CANCER
C45.2,Mesothelioma of pericardium,OTHER_PRIMARY_CANCER
C45.7,Mesothelioma of other sites,OTHER_PRIMARY_CANCER
C45.9,"Mesothelioma, unspecified",OTHER_PRIMARY_CANCER
C46.,Kaposi sarcoma,OTHER_PRIMARY_CANCER
C46.0,Kaposi sarcoma of skin,OTHER_PRIMARY_CANCER
C46.1,Kaposi sarcoma of soft tissue,OTHER_PRIMARY_CANCER
C46.2,Kaposi sarcoma of palate,OTHER_PRIMARY_CANCER
C46.3,Kaposi sarcoma of lymph nodes,OTHER_PRIMARY_CANCER
C46.7,Kaposi sarcoma of other sites,OTHER_PRIMARY_CANCER
C46.8,Kaposi sarcoma of multiple organs,OTHER_PRIMARY_CANCER
C46.9,"Kaposi sarcoma, unspecified",OTHER_PRIMARY_CANCER
C47.0,"Malignant neoplasm of peripheral nerves of head, face and neck",OTHER_PRIMARY_CANCER
C47.1,"Malignant neoplasm of peripheral nerves of upper limb, including shoulder",OTHER_PRIMARY_CANCER
C47.2,"Malignant neoplasm of peripheral nerves of lower limb, including hip",OTHER_PRIMARY_CANCER
C47.3,Malignant neoplasm of peripheral nerves of thorax,OTHER_PRIMARY_CANCER
C47.4,Malignant neoplasm of peripheral nerves of abdomen,OTHER_PRIMARY_CANCER
C47.5,Malignant neoplasm of peripheral nerves of pelvis,OTHER_PRIMARY_CANCER
C47.6,"Malignant neoplasm of peripheral nerves of trunk, unspecified",OTHER_PRIMARY_CANCER
C47.8,Overlapping malignant lesion of peripheral nerves and autonomic nervous system,OTHER_PRIMARY_CANCER
C47.9,"Malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified",OTHER_PRIMARY_CANCER
C48.0,Malignant neoplasm of retroperitoneum,OTHER_PRIMARY_CANCER
C48.1,Malignant neoplasm of specified parts of peritoneum,OTHER_PRIMARY_CANCER
C48.2,"Malignant neoplasm of peritoneum, unspecified",OTHER_PRIMARY_CANCER
C48.8,Overlapping malignant lesion of retroperitoneum and peritoneum,OTHER_PRIMARY_CANCER
C49.0,"Malignant neoplasm of connective and soft tissue of head, face and neck",OTHER_PRIMARY_CANCER
C49.1,"Malignant neoplasm of connective and soft tissue of upper limb, including shoulder",OTHER_PRIMARY_CANCER
C49.2,"Malignant neoplasm of connective and soft tissue of lower limb, including hip",OTHER_PRIMARY_CANCER
C49.3,Malignant neoplasm of connective and soft tissue of thorax,OTHER_PRIMARY_CANCER
C49.4,Malignant neoplasm of connective and soft tissue of abdomen,OTHER_PRIMARY_CANCER
C49.5,Malignant neoplasm of connective and soft tissue of pelvis,OTHER_PRIMARY_CANCER
C49.6,"Malignant neoplasm of connective and soft tissue of trunk, unspecified",OTHER_PRIMARY_CANCER
C49.8,Overlapping malignant lesion of connective and soft tissue,OTHER_PRIMARY_CANCER
C49.9,"Malignant neoplasm of connective and soft tissue, unspecified",OTHER_PRIMARY_CANCER
C51.0,Malignant neoplasm of labium majus,OTHER_PRIMARY_CANCER
C51.1,Malignant neoplasm of labium minus,OTHER_PRIMARY_CANCER
C51.2,Malignant neoplasm of clitoris,OTHER_PRIMARY_CANCER
C51.8,Overlapping malignant lesion of vulva,OTHER_PRIMARY_CANCER
C51.9,"Malignant neoplasm of vulva, unspecified",OTHER_PRIMARY_CANCER
C52.,Malignant neoplasm of vagina,OTHER_PRIMARY_CANCER
C53.0,Malignant neoplasm of endocervix,OTHER_PRIMARY_CANCER
C53.1,Malignant neoplasm of exocervix,OTHER_PRIMARY_CANCER
C53.8,Overlapping malignant lesion of cervix uteri,OTHER_PRIMARY_CANCER
C53.9,"Malignant neoplasm of cervix uteri, unspecified",OTHER_PRIMARY_CANCER
C54.0,Malignant neoplasm of isthmus uteri,OTHER_PRIMARY_CANCER
C54.1,Malignant neoplasm of endometrium,OTHER_PRIMARY_CANCER
C54.2,Malignant neoplasm of myometrium,OTHER_PRIMARY_CANCER
C54.3,Malignant neoplasm of fundus uteri,OTHER_PRIMARY_CANCER
C54.8,Overlapping malignant lesion of corpus uteri,OTHER_PRIMARY_CANCER
C54.9,"Malignant neoplasm of corpus uteri, unspecified",OTHER_PRIMARY_CANCER
C55.,"Malignant neoplasm of uterus, part unspecified",OTHER_PRIMARY_CANCER
C56.,Malignant neoplasm of ovary,OTHER_PRIMARY_CANCER
C57.0,Malignant neoplasm of fallopian tube,OTHER_PRIMARY_CANCER
C57.1,Malignant neoplasm of broad ligament,OTHER_PRIMARY_CANCER
C57.2,Malignant neoplasm of round ligament,OTHER_PRIMARY_CANCER
C57.3,Malignant neoplasm of parametrium,OTHER_PRIMARY_CANCER
C57.4,"Malignant neoplasm of uterine adnexa, unspecified",OTHER_PRIMARY_CANCER
C57.7,Malignant neoplasm of other specified female genital organs,OTHER_PRIMARY_CANCER
C57.8,Overlapping malignant lesion of female genital organs,OTHER_PRIMARY_CANCER
C57.9,"Malignant neoplasm of female genital organ, unspecified",OTHER_PRIMARY_CANCER
C58.,Malignant neoplasm of placenta,OTHER_PRIMARY_CANCER
C60.0,Malignant neoplasm of prepuce,OTHER_PRIMARY_CANCER
C60.1,Malignant neoplasm of glans penis,OTHER_PRIMARY_CANCER
C60.2,Malignant neoplasm of body of penis,OTHER_PRIMARY_CANCER
C60.8,Overlapping malignant lesion of penis,OTHER_PRIMARY_CANCER
C60.9,"Malignant neoplasm of penis, unspecified",OTHER_PRIMARY_CANCER
C61.,Malignant neoplasm of prostate,OTHER_PRIMARY_CANCER
C62.0,Malignant neoplasm of undescended testis,OTHER_PRIMARY_CANCER
C62.1,Malignant neoplasm of descended testis,OTHER_PRIMARY_CANCER
C62.9,"Malignant neoplasm of testis, unspecified",OTHER_PRIMARY_CANCER
C63.0,Malignant neoplasm of epididymis,OTHER_PRIMARY_CANCER
C63.1,Malignant neoplasm of spermatic cord,OTHER_PRIMARY_CANCER
C63.2,Malignant neoplasm of scrotum,OTHER_PRIMARY_CANCER
C63.7,Other specified male genital organs,OTHER_PRIMARY_CANCER
C63.8,Overlapping malignant lesion of male genital organs,OTHER_PRIMARY_CANCER
C63.9,"Malignant neoplasm of male genital organ, unspecified",OTHER_PRIMARY_CANCER
C64.,"Malignant neoplasm of kidney, except renal pelvis",OTHER_PRIMARY_CANCER
C65.,Malignant neoplasm of renal pelvis,OTHER_PRIMARY_CANCER
C66.,Malignant neoplasm of ureter,OTHER_PRIMARY_CANCER
C67.0,Malignant neoplasm of trigone of bladder,OTHER_PRIMARY_CANCER
C67.1,Malignant neoplasm of dome of bladder,OTHER_PRIMARY_CANCER
C67.2,Malignant neoplasm of lateral wall of bladder,OTHER_PRIMARY_CANCER
C67.3,Malignant neoplasm of anterior wall of bladder,OTHER_PRIMARY_CANCER
C67.4,Malignant neoplasm of posterior wall of bladder,OTHER_PRIMARY_CANCER
C67.5,Malignant neoplasm of bladder neck,OTHER_PRIMARY_CANCER
C67.6,Malignant neoplasm of ureteric orifice,OTHER_PRIMARY_CANCER
C67.7,Malignant neoplasm of urachus,OTHER_PRIMARY_CANCER
C67.8,Overlapping malignant lesion of bladder,OTHER_PRIMARY_CANCER
C67.9,"Malignant neoplasm of bladder, unspecified",OTHER_PRIMARY_CANCER
C68.0,Malignant neoplasm of urethra,OTHER_PRIMARY_CANCER
C68.1,Malignant neoplasm of paraurethral gland,OTHER_PRIMARY_CANCER
C68.8,Overlapping malignant lesion of urinary organs,OTHER_PRIMARY_CANCER
C68.9,"Malignant neoplasm of urinary organ, unspecified",OTHER_PRIMARY_CANCER
C69.0,Malignant neoplasm of conjunctiva,OTHER_PRIMARY_CANCER
C69.1,Malignant neoplasm of cornea,OTHER_PRIMARY_CANCER
C69.2,Malignant neoplasm of retina,OTHER_PRIMARY_CANCER
C69.3,Malignant neoplasm of choroid,OTHER_PRIMARY_CANCER
C69.4,Malignant neoplasm of ciliary body,OTHER_PRIMARY_CANCER
C69.5,Malignant neoplasm of lacrimal gland and duct,OTHER_PRIMARY_CANCER
C69.6,Malignant neoplasm of orbit,OTHER_PRIMARY_CANCER
C69.8,Overlapping malignant lesion of eye and adnexa,OTHER_PRIMARY_CANCER
C69.9,"Malignant neoplasm of eye, unspecified",OTHER_PRIMARY_CANCER
C70.0,Malignant neoplasm of cerebral meninges,OTHER_PRIMARY_CANCER
C70.1,Malignant neoplasm of spinal meninges,OTHER_PRIMARY_CANCER
C70.9,"Malignant neoplasm of meninges, unspecified",OTHER_PRIMARY_CANCER
C71.0,"Malignant neoplasm of cerebrum, except lobes and ventricles",OTHER_PRIMARY_CANCER
C71.1,Malignant neoplasm of frontal lobe,OTHER_PRIMARY_CANCER
C71.2,Malignant neoplasm of temporal lobe,OTHER_PRIMARY_CANCER
C71.3,Malignant neoplasm of parietal lobe,OTHER_PRIMARY_CANCER
C71.4,Malignant neoplasm of occipital lobe,OTHER_PRIMARY_CANCER
C71.5,Malignant neoplasm of cerebral ventricle,OTHER_PRIMARY_CANCER
C71.6,Malignant neoplasm of cerebellum,OTHER_PRIMARY_CANCER
C71.7,Malignant neoplasm of brain stem,OTHER_PRIMARY_CANCER
C71.8,Overlapping malignant lesion of brain,OTHER_PRIMARY_CANCER
C71.9,"Malignant neoplasm of brain, unspecified",OTHER_PRIMARY_CANCER
C72.0,Malignant neoplasm of spinal cord,OTHER_PRIMARY_CANCER
C72.1,Malignant neoplasm of cauda equina,OTHER_PRIMARY_CANCER
C72.2,Malignant neoplasm of olfactory nerve,OTHER_PRIMARY_CANCER
C72.3,Malignant neoplasm of optic nerve,OTHER_PRIMARY_CANCER
C72.4,Malignant neoplasm of acoustic nerve,OTHER_PRIMARY_CANCER
C72.5,Malignant neoplasm of other and unspecified cranial nerves,OTHER_PRIMARY_CANCER
C72.8,Overlapping malignant lesion of brain and other parts of central nervous system,OTHER_PRIMARY_CANCER
C72.9,"Malignant neoplasm of central nervous system, unspecified",OTHER_PRIMARY_CANCER
C73.,Malignant neoplasm of thyroid gland,OTHER_PRIMARY_CANCER
C74.0,Malignant neoplasm of cortex of adrenal gland,OTHER_PRIMARY_CANCER
C74.1,Malignant neoplasm of medulla of adrenal gland,OTHER_PRIMARY_CANCER
C74.9,"Malignant neoplasm of adrenal gland, unspecified",OTHER_PRIMARY_CANCER
C75.0,Malignant neoplasm of parathyroid gland,OTHER_PRIMARY_CANCER
C75.1,Malignant neoplasm of pituitary gland,OTHER_PRIMARY_CANCER
C75.2,Malignant neoplasm of craniopharyngeal duct,OTHER_PRIMARY_CANCER
C75.3,Malignant neoplasm of pineal gland,OTHER_PRIMARY_CANCER
C75.4,Malignant neoplasm of carotid body,OTHER_PRIMARY_CANCER
C75.5,Malignant neoplasm of aortic body and other paraganglia,OTHER_PRIMARY_CANCER
C75.8,"Malignant neoplasm of pluriglandular involvement, unspecified",OTHER_PRIMARY_CANCER
C75.9,"Malignant neoplasm of endocrine gland, unspecified",OTHER_PRIMARY_CANCER
C76.0,"Malignant neoplasm of head, face and neck",OTHER_PRIMARY_CANCER
C76.1,Malignant neoplasm of thorax,OTHER_PRIMARY_CANCER
C76.2,Malignant neoplasm of abdomen,OTHER_PRIMARY_CANCER
C76.3,Malignant neoplasm of pelvis,OTHER_PRIMARY_CANCER
C76.4,Malignant neoplasm of upper limb,OTHER_PRIMARY_CANCER
C76.5,Malignant neoplasm of lower limb,OTHER_PRIMARY_CANCER
C76.7,Malignant neoplasm of other ill-defined sites,OTHER_PRIMARY_CANCER
C76.8,Overlapping malignant lesion of other and ill-defined sites,OTHER_PRIMARY_CANCER
C90.20,"Extramedullary plasmacytoma, without mention of remission",OTHER_PRIMARY_CANCER
C90.21,"Extramedullary plasmacytoma, in remission",OTHER_PRIMARY_CANCER
C94.40,"Acute panmyelosis with myelofibrosis, without mention of remission",OTHER_PRIMARY_CANCER
C94.41,"Acute panmyelosis with myelofibrosis, in remission",OTHER_PRIMARY_CANCER
D37.,Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs,OTHER_PRIMARY_CANCER
D37.0,"Neoplasm of uncertain or unknown behaviour of lip, oral cavity and pharynx",OTHER_PRIMARY_CANCER
D37.1,Neoplasm of uncertain or unknown behaviour of stomach,OTHER_PRIMARY_CANCER
D37.2,Neoplasm of uncertain or unknown behaviour of small intestine,OTHER_PRIMARY_CANCER
D37.3,Neoplasm of uncertain or unknown behaviour of appendix,OTHER_PRIMARY_CANCER
D37.4,Neoplasm of uncertain or unknown behaviour of colon,OTHER_PRIMARY_CANCER
D37.5,Neoplasm of uncertain or unknown behaviour of rectum,OTHER_PRIMARY_CANCER
D37.6,"Neoplasm of uncertain or unknown behaviour of liver, gallbladder and bile ducts",OTHER_PRIMARY_CANCER
D37.7,Neoplasm of uncertain or unknown behaviour of other digestive organs,OTHER_PRIMARY_CANCER
D37.9,"Neoplasm of uncertain or unknown behaviour of digestive organ, unspecified",OTHER_PRIMARY_CANCER
D38.,Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs,OTHER_PRIMARY_CANCER
D38.0,Neoplasm of uncertain or unknown behaviour of larynx,OTHER_PRIMARY_CANCER
D38.1,"Neoplasm of uncertain or unknown behaviour of trachea, bronchus and lung",OTHER_PRIMARY_CANCER
D38.2,Neoplasm of uncertain or unknown behaviour of pleura,OTHER_PRIMARY_CANCER
D38.3,Neoplasm of uncertain or unknown behaviour of mediastinum,OTHER_PRIMARY_CANCER
D38.4,Neoplasm of uncertain or unknown behaviour of thymus,OTHER_PRIMARY_CANCER
D38.5,Neoplasm of uncertain or unknown behaviour of other respiratory organs,OTHER_PRIMARY_CANCER
D38.6,"Neoplasm of uncertain or unknown behaviour of respiratory organ, unspecified",OTHER_PRIMARY_CANCER
D39.,Neoplasm of uncertain or unknown behaviour of female genital organs,OTHER_PRIMARY_CANCER
D39.0,Neoplasm of uncertain or unknown behaviour of uterus,OTHER_PRIMARY_CANCER
D39.1,Neoplasm of uncertain or unknown behaviour of ovary,OTHER_PRIMARY_CANCER
D39.2,Neoplasm of uncertain or unknown behaviour of placenta,OTHER_PRIMARY_CANCER
D39.7,Neoplasm of uncertain or unknown behaviour of other female genital organs,OTHER_PRIMARY_CANCER
D39.9,"Neoplasm of uncertain or unknown behaviour of female genital organ, unspecified",OTHER_PRIMARY_CANCER
D40.,Neoplasm of uncertain or unknown behaviour of male genital organs,OTHER_PRIMARY_CANCER
D40.0,Neoplasm of uncertain or unknown behaviour of prostate,OTHER_PRIMARY_CANCER
D40.1,Neoplasm of uncertain or unknown behaviour of testis,OTHER_PRIMARY_CANCER
D40.7,Neoplasm of uncertain or unknown behaviour of other male genital organs,OTHER_PRIMARY_CANCER
D40.9,"Neoplasm of uncertain or unknown behaviour of male genital organ, unspecified",OTHER_PRIMARY_CANCER
D41.,Neoplasm of uncertain or unknown behaviour of urinary organs,OTHER_PRIMARY_CANCER
D41.0,Neoplasm of uncertain or unknown behaviour of kidney,OTHER_PRIMARY_CANCER
D41.1,Neoplasm of uncertain or unknown behaviour of renal pelvis,OTHER_PRIMARY_CANCER
D41.2,Neoplasm of uncertain or unknown behaviour of ureter,OTHER_PRIMARY_CANCER
D41.3,Neoplasm of uncertain or unknown behaviour of urethra,OTHER_PRIMARY_CANCER
D41.4,Neoplasm of uncertain or unknown behaviour of bladder,OTHER_PRIMARY_CANCER
D41.7,Neoplasm of uncertain or unknown behaviour of other urinary organs,OTHER_PRIMARY_CANCER
D41.9,"Neoplasm of uncertain or unknown behaviour of urinary organ, unspecified",OTHER_PRIMARY_CANCER
D42.0,Neoplasm of uncertain or unknown behaviour of cerebral meninges,OTHER_PRIMARY_CANCER
D42.1,Neoplasm of uncertain or unknown behaviour of spinal meninges,OTHER_PRIMARY_CANCER
D42.9,"Neoplasm of uncertain or unknown behaviour of meninges, unspecified",OTHER_PRIMARY_CANCER
D43.,Neoplasm of uncertain or unknown behaviour of brain and central nervous system,OTHER_PRIMARY_CANCER
D43.0,"Neoplasm of uncertain or unknown behaviour of brain, supratentorial",OTHER_PRIMARY_CANCER
D43.1,"Neoplasm of uncertain or unknown behaviour of brain, infratentorial",OTHER_PRIMARY_CANCER
D43.2,"Neoplasm of uncertain or unknown behaviour of brain, unspecified",OTHER_PRIMARY_CANCER
D43.3,Neoplasm of uncertain or unknown behaviour of cranial nerves,OTHER_PRIMARY_CANCER
D43.4,Neoplasm of uncertain or unknown behaviour of spinal cord,OTHER_PRIMARY_CANCER
D43.7,Neoplasm of uncertain or unknown behaviour of other parts of central nervous system,OTHER_PRIMARY_CANCER
D43.9,"Neoplasm of uncertain or unknown behaviour of central nervous system, unspecified",OTHER_PRIMARY_CANCER
D44.,Neoplasm of uncertain or unknown behaviour of endocrine glands,OTHER_PRIMARY_CANCER
D44.0,Neoplasm of uncertain or unknown behaviour of thyroid gland,OTHER_PRIMARY_CANCER
D44.1,Neoplasm of uncertain or unknown behaviour of adrenal gland,OTHER_PRIMARY_CANCER
D44.2,Neoplasm of uncertain or unknown behaviour of parathyroid gland,OTHER_PRIMARY_CANCER
D44.3,Neoplasm of uncertain or unknown behaviour of pituitary gland,OTHER_PRIMARY_CANCER
D44.4,Neoplasm of uncertain or unknown behaviour of craniopharyngeal duct,OTHER_PRIMARY_CANCER
D44.5,Neoplasm of uncertain or unknown behaviour of pineal gland,OTHER_PRIMARY_CANCER
D44.6,Neoplasm of uncertain or unknown behaviour of carotid body,OTHER_PRIMARY_CANCER
D44.7,Neoplasm of uncertain or unknown behaviour of aortic body and other paraganglia,OTHER_PRIMARY_CANCER
D44.8,Neoplasm of uncertain or unknown behaviour of pluriglandular involvement,OTHER_PRIMARY_CANCER
D44.9,"Neoplasm of uncertain or unknown behaviour of endocrine gland, unspecified",OTHER_PRIMARY_CANCER
D45.,Polycythaemia vera,OTHER_PRIMARY_CANCER
D46.0,"Refractory anaemia without ring sideroblasts, so stated",OTHER_PRIMARY_CANCER
D46.1,Myelodysplastic syndrome with ring sideroblasts and single lineage dysplasia,OTHER_PRIMARY_CANCER
D46.2,Myelodysplastic syndrome with excess blasts,OTHER_PRIMARY_CANCER
D46.3,Refractory anaemia with excess of blasts with transformation,OTHER_PRIMARY_CANCER
D46.4,Myelodysplastic syndrome with single lineage dysplasia,OTHER_PRIMARY_CANCER
D46.7,Other myelodysplastic syndromes,OTHER_PRIMARY_CANCER
D46.9,"Myelodysplastic syndrome, unspecified",OTHER_PRIMARY_CANCER
D47.0,Histiocytic and mast cell tumours of uncertain and unknown behaviour,OTHER_PRIMARY_CANCER
D47.1,Chronic myeloproliferative disease,OTHER_PRIMARY_CANCER
D47.3,Essential (haemorrhagic) thrombocythaemia,OTHER_PRIMARY_CANCER
D47.7,"Other specified neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue",OTHER_PRIMARY_CANCER
D47.9,"Neoplasm of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue, unspecified",OTHER_PRIMARY_CANCER
D48.,Neoplasm of uncertain or unknown behaviour of other and unspecified sites,OTHER_PRIMARY_CANCER
D48.0,Neoplasm of uncertain or unknown behaviour of bone and articular cartilage,OTHER_PRIMARY_CANCER
D48.1,Neoplasm of uncertain or unknown behaviour of connective and other soft tissue,OTHER_PRIMARY_CANCER
D48.2,Neoplasm of uncertain or unknown behaviour of peripheral nerves and autonomic nervous system,OTHER_PRIMARY_CANCER
D48.3,Neoplasm of uncertain or unknown behaviour of retroperitoneum,OTHER_PRIMARY_CANCER
D48.4,Neoplasm of uncertain or unknown behaviour of peritoneum,OTHER_PRIMARY_CANCER
